h_e,tau_i,trace,determinant,eig_real_max,eig_imag_abs,eq_v_e,eq_v_i,active_equilibrium,amp_v_e,amp_v_i,std_v_e
0.05,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.20000000000000004,-0.1,0,1.3166956622746213e-57,0.0,8.963723803033866e-59
0.06666666666666667,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.1666666666666667,-0.06666666666666668,0,1.42563921294893e-57,0.0,9.70538334239874e-59
0.08333333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.1333333333333334,-0.033333333333333354,0,1.5477408687913154e-57,0.0,1.0536619861377995e-58
0.09999999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.10000000000000006,-2.7755575615628914e-17,0,1.6847651903796277e-57,0.0,1.1469446032380857e-58
0.11666666666666665,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.06666666666666674,0.0333333333333333,0,1.838647364065278e-57,0.0,1.2517036103989198e-58
0.1333333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-0.03333333333333344,0.0666666666666666,0,2.0116061959691078e-57,0.0,1.3694495134880984e-58
0.14999999999999997,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,-1.1102230246251565e-16,0.09999999999999992,0,2.206159027213603e-57,0.0,1.5018960532876787e-58
0.16666666666666663,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.033333333333333215,0.13333333333333325,1,3.4360618517137453e-11,2.8581748079403724e-11,3.4340002544678382e-12
0.1833333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.06666666666666654,0.16666666666666657,1,6.795226881184391e-11,5.652386891874528e-11,6.104425246750225e-12
0.19999999999999996,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.09999999999999987,0.1999999999999999,1,1.0083928136950249e-10,8.401487838760602e-11,8.271103722879992e-12
0.21666666666666662,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.1333333333333332,0.23333333333333323,1,1.3090364903156626e-10,1.1111087050430513e-10,1.0211202141480927e-11
0.23333333333333328,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.16666666666666652,0.26666666666666655,1,1.5850382117932327e-10,1.3783779673204322e-10,1.2054768788628008e-11
0.24999999999999994,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.19999999999999984,0.2999999999999999,1,1.8465184936644619e-10,1.6421453086223892e-10,1.3864676780272949e-11
0.2666666666666666,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.23333333333333317,0.3333333333333332,1,2.1002888317411816e-10,1.9023771447024274e-10,1.567198315509597e-11
0.28333333333333327,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.2666666666666665,0.36666666666666653,1,2.3512458646735013e-10,2.159136203161438e-10,1.74940910390363e-11
0.29999999999999993,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.2999999999999998,0.39999999999999986,1,2.602433823994943e-10,2.4121898922757623e-10,1.9339799129004912e-11
0.3166666666666666,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.33333333333333315,0.4333333333333332,1,2.856053726851826e-10,2.661493803124415e-10,2.121487964964353e-11
0.33333333333333326,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.3666666666666665,0.4666666666666665,1,3.113256874520687e-10,2.906662133206339e-10,2.3122451318717326e-11
0.3499999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.3999999999999998,0.49999999999999983,1,3.3742958427396275e-10,3.147154203908542e-10,2.5062859822495162e-11
0.3666666666666666,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.4333333333333331,0.5333333333333332,1,3.6389125046554227e-10,3.38235217611782e-10,2.7035018357932022e-11
0.38333333333333325,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.46666666666666645,0.5666666666666664,1,3.9056541334403505e-10,3.610850507484997e-10,2.9032405138083474e-11
0.3999999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.4999999999999998,0.5999999999999999,1,4.1720588095373046e-10,3.8306557925693596e-10,3.104233009483021e-11
0.4166666666666666,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.5333333333333331,0.6333333333333331,1,4.4326664561111784e-10,4.037254974775806e-10,3.3032063848495496e-11
0.43333333333333324,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.5666666666666664,0.6666666666666665,1,4.672667808236497e-10,4.218002613853855e-10,3.489891660032822e-11
0.4499999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.5999999999999998,0.6999999999999997,1,4.792974905853953e-10,4.28665769547365e-10,3.590678324013945e-11
0.46666666666666656,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.6333333333333331,0.7333333333333332,1,4.866386182911242e-10,4.3150139017456013e-10,3.65875419763283e-11
0.4833333333333332,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.6666666666666664,0.7666666666666664,1,4.94135510287208e-10,4.3471692912078197e-10,3.730052039880278e-11
0.4999999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.6999999999999997,0.7999999999999998,1,5.017807280793818e-10,4.382861851226494e-10,3.804411710068219e-11
0.5166666666666666,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.7333333333333332,0.8333333333333333,1,5.095669441956829e-10,4.4220327399813186e-10,3.881556448763572e-11
0.5333333333333332,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.7666666666666664,0.8666666666666665,1,5.174869421864514e-10,4.4644377084068765e-10,3.961457130640496e-11
0.5499999999999999,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.7999999999999998,0.8999999999999999,1,5.255322843567001e-10,4.509896900373178e-10,4.043859558614557e-11
0.5666666666666667,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.8333333333333333,0.9333333333333333,1,5.337011943495895e-10,4.5583359309375737e-10,4.128639862788295e-11
0.5833333333333333,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.8666666666666665,0.9666666666666666,1,5.419816817564538e-10,4.6095294248260643e-10,4.215677489148041e-11
0.6,1.5,-0.33333333333333326,0.6666666666666666,-0.16666666666666646,0.7993052538854533,0.8999999999999999,1.0,1,5.503736355549904e-10,4.663404107319025e-10,4.304766900297542e-11
